District_Name,Crop_Name,Market_Name,Price_Date,Price_Tk_kg
Rajshahi,Sugarcane,Rajshahi Sadar Bazar,2024-07-30,36.38
Chittagong,Guava,Chittagong Sadar Bazar,2024-03-26,39.45
Rangpur,Pulses,Rangpur Sadar Bazar,2024-05-05,37.39
Jessore,Coriander,Jessore Sadar Bazar,2024-07-29,46.07
Sylhet,Chilli,Sylhet Sadar Bazar,2024-04-22,41.26
Barisal,Pomegranate,Barisal Sadar Bazar,2025-05-18,36.24
Chittagong,Pomegranate,Chittagong Sadar Bazar,2024-05-28,37.74
Jessore,Maize,Jessore Sadar Bazar,2025-05-03,45.38
Mymensingh,Gram,Mymensingh Sadar Bazar,2024-08-31,47.68
Bogra,Onion,Bogra Sadar Bazar,2024-08-07,47.34
Sylhet,Cotton,Sylhet Sadar Bazar,2025-01-09,43.63
Bogra,Sugarcane,Bogra Sadar Bazar,2024-09-06,38.79
Sylhet,Maize,Sylhet Sadar Bazar,2024-09-01,24.44
Barisal,Tomato,Barisal Sadar Bazar,2024-10-10,41.43
Jessore,Opium,Jessore Sadar Bazar,2024-12-26,39.99
Rajshahi,Citrus,Rajshahi Sadar Bazar,2024-11-06,40.67
Jessore,Guava,Jessore Sadar Bazar,2024-10-13,40.26
Sylhet,Fennel,Sylhet Sadar Bazar,2024-08-30,33.63
Bogra,Maize,Bogra Sadar Bazar,2025-03-16,42.68
Cumilla,Maize,Cumilla Sadar Bazar,2025-05-16,43.03
Mymensingh,Maize,Mymensingh Sadar Bazar,2024-06-22,43.28
Bogra,Fenugreek,Bogra Sadar Bazar,2025-01-08,44.54
Bogra,Cotton,Bogra Sadar Bazar,2024-06-01,42.9
Sylhet,Mango,Sylhet Sadar Bazar,2024-10-16,38.03
Jessore,Citrus,Jessore Sadar Bazar,2024-12-11,39.66
Mymensingh,Pulses,Mymensingh Sadar Bazar,2025-05-17,40.44
Barisal,Oilseeds,Barisal Sadar Bazar,2025-04-19,40.52
Dhaka,Oilseeds,Dhaka Sadar Bazar,2025-01-25,44.79
Cumilla,Cotton,Cumilla Sadar Bazar,2025-02-14,43.09
Jessore,Pulses,Jessore Sadar Bazar,2025-01-08,49.97
Cumilla,Wheat,Cumilla Sadar Bazar,2024-04-14,50.59
Jessore,Pulses,Jessore Sadar Bazar,2024-04-12,40.38
Cumilla,Guava,Cumilla Sadar Bazar,2024-07-17,21.58
Cumilla,Opium,Cumilla Sadar Bazar,2025-01-06,45.94
Rangpur,Gram,Rangpur Sadar Bazar,2024-04-17,37.41
Sylhet,Cumin,Sylhet Sadar Bazar,2024-12-13,36.15
Dhaka,Mustard,Dhaka Sadar Bazar,2024-06-28,38.09
Sylhet,Tomato,Sylhet Sadar Bazar,2024-03-21,37.86
Rajshahi,Citrus,Rajshahi Sadar Bazar,2025-02-10,42.94
Rajshahi,Opium,Rajshahi Sadar Bazar,2024-09-16,32.51
Chittagong,Cumin,Chittagong Sadar Bazar,2024-07-31,34.83
Chittagong,Wheat,Chittagong Sadar Bazar,2025-01-21,41.65
Rajshahi,Pomegranate,Rajshahi Sadar Bazar,2024-05-28,42.99
Rajshahi,Oilseeds,Rajshahi Sadar Bazar,2024-09-29,43.08
Jessore,Maize,Jessore Sadar Bazar,2025-05-17,36.22
Rajshahi,Mango,Rajshahi Sadar Bazar,2024-11-20,35.3
Bogra,Chilli,Bogra Sadar Bazar,2025-04-26,37.57
Rangpur,Mango,Rangpur Sadar Bazar,2025-05-07,41.15
Sylhet,Oilseeds,Sylhet Sadar Bazar,2024-11-30,47.13
Dhaka,Bajra,Dhaka Sadar Bazar,2025-01-09,30.17
Mymensingh,Cotton,Mymensingh Sadar Bazar,2025-02-11,38.94
Jessore,Guava,Jessore Sadar Bazar,2024-08-09,33.6
Chittagong,Gram,Chittagong Sadar Bazar,2025-02-01,32.07
Rangpur,Onion,Rangpur Sadar Bazar,2024-06-24,44.64
Barisal,Oilseeds,Barisal Sadar Bazar,2025-01-29,42.61
Rangpur,Coriander,Rangpur Sadar Bazar,2024-04-25,42.16
Barisal,Fenugreek,Barisal Sadar Bazar,2025-01-15,44.42
Chittagong,Gram,Chittagong Sadar Bazar,2024-06-21,37.7
Mymensingh,Chilli,Mymensingh Sadar Bazar,2024-09-10,37.92
Dhaka,Coriander,Dhaka Sadar Bazar,2025-04-05,50.49
Mymensingh,Garlic,Mymensingh Sadar Bazar,2024-07-25,38.82
Dhaka,Onion,Dhaka Sadar Bazar,2025-04-19,43.53
Sylhet,Bajra,Sylhet Sadar Bazar,2024-07-28,40.03
Bogra,Citrus,Bogra Sadar Bazar,2025-04-29,31.13
Mymensingh,Pulses,Mymensingh Sadar Bazar,2024-03-31,30.19
Rangpur,Gram,Rangpur Sadar Bazar,2025-03-27,37.22
Rajshahi,Citrus,Rajshahi Sadar Bazar,2025-01-03,45.07
Rangpur,Mustard,Rangpur Sadar Bazar,2025-05-17,43.78
Rangpur,Fenugreek,Rangpur Sadar Bazar,2024-05-13,44.39
Sylhet,Mustard,Sylhet Sadar Bazar,2024-06-28,35.26
Jessore,Mango,Jessore Sadar Bazar,2024-11-08,47.76
Mymensingh,Mango,Mymensingh Sadar Bazar,2024-05-30,35.37
Rajshahi,Fennel,Rajshahi Sadar Bazar,2024-12-11,41.02
Sylhet,Barley,Sylhet Sadar Bazar,2025-03-27,39.95
Jessore,Opium,Jessore Sadar Bazar,2024-05-02,39.17
Barisal,Garlic,Barisal Sadar Bazar,2024-06-23,46.43
Dhaka,Maize,Dhaka Sadar Bazar,2024-09-06,36.62
Bogra,Pomegranate,Bogra Sadar Bazar,2024-03-26,33.52
Barisal,Cotton,Barisal Sadar Bazar,2025-01-20,40.1
Chittagong,Onion,Chittagong Sadar Bazar,2025-02-17,38.08
Rajshahi,Sugarcane,Rajshahi Sadar Bazar,2025-01-28,56.21
Barisal,Fennel,Barisal Sadar Bazar,2024-11-10,43.25
Mymensingh,Bajra,Mymensingh Sadar Bazar,2024-06-09,38.04
Cumilla,Mustard,Cumilla Sadar Bazar,2024-10-17,34.93
Mymensingh,Coriander,Mymensingh Sadar Bazar,2025-01-31,30.97
Chittagong,Barley,Chittagong Sadar Bazar,2024-08-16,35.08
Rangpur,Coriander,Rangpur Sadar Bazar,2025-03-11,40.55
Bogra,Maize,Bogra Sadar Bazar,2024-04-02,46.85
Rajshahi,Chilli,Rajshahi Sadar Bazar,2024-06-07,45.38
Rangpur,Maize,Rangpur Sadar Bazar,2024-04-03,41.1
Rajshahi,Onion,Rajshahi Sadar Bazar,2024-06-15,38.45
Bogra,Guava,Bogra Sadar Bazar,2024-06-27,41.29
Rangpur,Gram,Rangpur Sadar Bazar,2024-04-28,37.51
Jessore,Sugarcane,Jessore Sadar Bazar,2025-02-14,48.25
Rajshahi,Mango,Rajshahi Sadar Bazar,2024-11-09,39.09
Cumilla,Gram,Cumilla Sadar Bazar,2024-11-09,39.59
Rajshahi,Mango,Rajshahi Sadar Bazar,2025-02-24,29.36
Sylhet,Opium,Sylhet Sadar Bazar,2025-02-09,39.06
Chittagong,Onion,Chittagong Sadar Bazar,2024-11-05,44.02
Bogra,Citrus,Bogra Sadar Bazar,2024-11-18,34.87
Dhaka,Sugarcane,Dhaka Sadar Bazar,2025-05-16,36.4
Mymensingh,Bajra,Mymensingh Sadar Bazar,2024-10-09,43.81
Dhaka,Garlic,Dhaka Sadar Bazar,2025-03-18,32.91
Rangpur,Fenugreek,Rangpur Sadar Bazar,2025-04-29,45.08
Cumilla,Pomegranate,Cumilla Sadar Bazar,2024-04-18,37.45
Cumilla,Pomegranate,Cumilla Sadar Bazar,2024-10-28,38.13
Dhaka,Cotton,Dhaka Sadar Bazar,2024-09-13,34.61
Barisal,Mango,Barisal Sadar Bazar,2024-04-09,41.81
Rangpur,Tomato,Rangpur Sadar Bazar,2024-04-19,51.81
Barisal,Cumin,Barisal Sadar Bazar,2025-01-03,43.75
Mymensingh,Bajra,Mymensingh Sadar Bazar,2024-07-12,35.85
Bogra,Coriander,Bogra Sadar Bazar,2024-06-26,45.45
Chittagong,Coriander,Chittagong Sadar Bazar,2025-05-09,38.48
Dhaka,Pomegranate,Dhaka Sadar Bazar,2024-08-15,46.6
Sylhet,Guava,Sylhet Sadar Bazar,2025-05-09,43.87
Dhaka,Chilli,Dhaka Sadar Bazar,2024-11-06,25.87
Sylhet,Garlic,Sylhet Sadar Bazar,2024-12-01,35.18
Chittagong,Garlic,Chittagong Sadar Bazar,2025-03-07,44.53
Barisal,Sugarcane,Barisal Sadar Bazar,2024-06-27,40.73
Sylhet,Mango,Sylhet Sadar Bazar,2025-01-14,35.09
Barisal,Garlic,Barisal Sadar Bazar,2024-12-06,36.96
Dhaka,Barley,Dhaka Sadar Bazar,2025-04-14,30.85
Mymensingh,Gram,Mymensingh Sadar Bazar,2024-10-17,39.58
Rajshahi,Barley,Rajshahi Sadar Bazar,2024-03-30,50.61
Rangpur,Sugarcane,Rangpur Sadar Bazar,2025-01-18,43.86
Barisal,Fennel,Barisal Sadar Bazar,2024-06-16,50.51
Dhaka,Cotton,Dhaka Sadar Bazar,2024-12-29,44.24
Jessore,Pomegranate,Jessore Sadar Bazar,2025-01-05,44.93
Chittagong,Cotton,Chittagong Sadar Bazar,2024-08-01,49.48
Jessore,Mustard,Jessore Sadar Bazar,2024-12-26,41.81
Dhaka,Wheat,Dhaka Sadar Bazar,2024-10-19,39.1
Mymensingh,Coriander,Mymensingh Sadar Bazar,2024-08-31,44.96
Jessore,Cumin,Jessore Sadar Bazar,2024-08-18,46.98
Barisal,Coriander,Barisal Sadar Bazar,2024-03-26,37.7
Sylhet,Citrus,Sylhet Sadar Bazar,2024-10-24,36.54
Rangpur,Cotton,Rangpur Sadar Bazar,2025-03-28,40.67
Barisal,Gram,Barisal Sadar Bazar,2024-10-08,43.99
Bogra,Onion,Bogra Sadar Bazar,2025-03-05,43.83
Rangpur,Citrus,Rangpur Sadar Bazar,2024-12-07,33.16
Barisal,Citrus,Barisal Sadar Bazar,2024-09-18,49.18
Rajshahi,Sugarcane,Rajshahi Sadar Bazar,2024-06-30,36.92
Cumilla,Wheat,Cumilla Sadar Bazar,2024-05-12,38.73
Cumilla,Guava,Cumilla Sadar Bazar,2025-01-30,35.67
Rajshahi,Maize,Rajshahi Sadar Bazar,2025-02-26,52.95
Cumilla,Maize,Cumilla Sadar Bazar,2024-08-30,41.16
Sylhet,Onion,Sylhet Sadar Bazar,2025-02-20,35.92
Rangpur,Mango,Rangpur Sadar Bazar,2024-09-18,44.15
Jessore,Gram,Jessore Sadar Bazar,2024-05-13,43.69
Barisal,Onion,Barisal Sadar Bazar,2024-06-13,39.1
Jessore,Pulses,Jessore Sadar Bazar,2025-05-05,44.03
Bogra,Onion,Bogra Sadar Bazar,2025-02-05,36.04
Dhaka,Onion,Dhaka Sadar Bazar,2024-06-02,37.63
Cumilla,Sugarcane,Cumilla Sadar Bazar,2025-01-13,30.35
Chittagong,Barley,Chittagong Sadar Bazar,2024-11-24,33.65
Bogra,Coriander,Bogra Sadar Bazar,2025-01-24,48.68
Dhaka,Cotton,Dhaka Sadar Bazar,2024-06-28,47.88
Barisal,Garlic,Barisal Sadar Bazar,2024-09-24,40.32
Mymensingh,Onion,Mymensingh Sadar Bazar,2025-02-01,47.98
Barisal,Mango,Barisal Sadar Bazar,2025-04-09,39.23
Rajshahi,Chilli,Rajshahi Sadar Bazar,2024-09-04,38.83
Jessore,Citrus,Jessore Sadar Bazar,2024-04-11,40.27
Cumilla,Pulses,Cumilla Sadar Bazar,2024-09-29,39.4
Chittagong,Chilli,Chittagong Sadar Bazar,2024-05-21,38.97
Chittagong,Bajra,Chittagong Sadar Bazar,2024-11-28,45.49
Jessore,Barley,Jessore Sadar Bazar,2025-04-24,40.72
Rajshahi,Oilseeds,Rajshahi Sadar Bazar,2024-12-23,43.42
Chittagong,Garlic,Chittagong Sadar Bazar,2024-11-12,44.95
Cumilla,Wheat,Cumilla Sadar Bazar,2024-06-04,41.86
Jessore,Citrus,Jessore Sadar Bazar,2024-07-16,35.34
Rangpur,Chilli,Rangpur Sadar Bazar,2024-07-31,33.51
Bogra,Guava,Bogra Sadar Bazar,2025-05-11,40.71
Chittagong,Sugarcane,Chittagong Sadar Bazar,2024-09-13,39.18
Bogra,Opium,Bogra Sadar Bazar,2024-05-03,40.42
Mymensingh,Coriander,Mymensingh Sadar Bazar,2024-04-17,39.92
Rajshahi,Tomato,Rajshahi Sadar Bazar,2024-09-30,52.4
Sylhet,Pulses,Sylhet Sadar Bazar,2024-05-22,33.61
Mymensingh,Opium,Mymensingh Sadar Bazar,2024-10-22,30.45
Dhaka,Mango,Dhaka Sadar Bazar,2025-04-15,41.6
Chittagong,Pulses,Chittagong Sadar Bazar,2024-10-13,38.19
Jessore,Wheat,Jessore Sadar Bazar,2024-09-11,41.52
Barisal,Bajra,Barisal Sadar Bazar,2024-11-17,42.8
Mymensingh,Tomato,Mymensingh Sadar Bazar,2024-05-02,46.16
Jessore,Barley,Jessore Sadar Bazar,2025-01-25,32.77
Bogra,Oilseeds,Bogra Sadar Bazar,2024-05-14,37.33
Sylhet,Fennel,Sylhet Sadar Bazar,2024-06-08,42.06
Sylhet,Fennel,Sylhet Sadar Bazar,2024-05-12,43.7
Barisal,Cotton,Barisal Sadar Bazar,2024-11-24,50.53
Cumilla,Cumin,Cumilla Sadar Bazar,2024-05-22,44.59
Sylhet,Coriander,Sylhet Sadar Bazar,2024-06-30,39.73
Rangpur,Garlic,Rangpur Sadar Bazar,2024-10-23,35.73
Jessore,Cumin,Jessore Sadar Bazar,2025-01-14,37.29
Jessore,Bajra,Jessore Sadar Bazar,2024-11-06,37.16
Chittagong,Cotton,Chittagong Sadar Bazar,2024-07-25,43.15
Chittagong,Chilli,Chittagong Sadar Bazar,2024-11-11,41.23
Sylhet,Cumin,Sylhet Sadar Bazar,2025-05-02,33.65
Bogra,Fenugreek,Bogra Sadar Bazar,2025-04-09,37.91
Barisal,Oilseeds,Barisal Sadar Bazar,2024-11-01,44.21
Barisal,Bajra,Barisal Sadar Bazar,2024-12-20,41.69
Bogra,Pulses,Bogra Sadar Bazar,2024-12-22,42.73
Chittagong,Onion,Chittagong Sadar Bazar,2024-08-17,41.84
Sylhet,Mustard,Sylhet Sadar Bazar,2024-12-18,47.81
Chittagong,Chilli,Chittagong Sadar Bazar,2025-02-18,41.13
Cumilla,Fenugreek,Cumilla Sadar Bazar,2024-08-20,38.15
Sylhet,Sugarcane,Sylhet Sadar Bazar,2025-04-13,35.6
Barisal,Garlic,Barisal Sadar Bazar,2024-08-27,41.2
Cumilla,Pomegranate,Cumilla Sadar Bazar,2024-12-15,28.28
Sylhet,Sugarcane,Sylhet Sadar Bazar,2025-03-04,39.12
Mymensingh,Mustard,Mymensingh Sadar Bazar,2025-01-26,39.01
Chittagong,Fennel,Chittagong Sadar Bazar,2025-03-02,33.45
Chittagong,Citrus,Chittagong Sadar Bazar,2024-05-10,35.54
Rajshahi,Opium,Rajshahi Sadar Bazar,2024-11-16,43.89
Jessore,Garlic,Jessore Sadar Bazar,2024-04-23,41.11
Sylhet,Oilseeds,Sylhet Sadar Bazar,2024-06-25,40.49
Sylhet,Tomato,Sylhet Sadar Bazar,2024-09-16,41.47
Cumilla,Bajra,Cumilla Sadar Bazar,2025-04-14,40.44
Cumilla,Guava,Cumilla Sadar Bazar,2024-11-20,45.97
Dhaka,Bajra,Dhaka Sadar Bazar,2024-07-10,40.59
Sylhet,Chilli,Sylhet Sadar Bazar,2024-04-21,33.0
Dhaka,Cumin,Dhaka Sadar Bazar,2025-03-03,47.82
Sylhet,Gram,Sylhet Sadar Bazar,2024-12-08,41.78
Rangpur,Chilli,Rangpur Sadar Bazar,2024-11-30,37.17
Bogra,Cotton,Bogra Sadar Bazar,2024-12-24,33.98
